MSZoning,LotFrontage,LotArea,LotShape,LandSlope,OverallQual,OverallCond,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,WoodDeckSF,PoolArea,PoolQC,MiscVal,MoSold,YrSold,Pool,GarageQuality,HouseAge,GarageAge,Remodel,TotalBath,WeightTotalBsmtSF,TotalPorchSF,Condition2Renew,PUD,SFoyer,Floor,Finish,Slvl,Interest,Rank,Street,LandContour,Utilities,LotConfig,Neighborhood,Condition1,BldgType,RoofStyle,RoofMatl,Exterior1st,MasVnrType,Foundation,Heating,Electrical,Functional,GarageType,PavedDrive,Fence,MiscFeature,SaleType,SaleCondition
0.3684143031018999,0.2160748206658332,-0.2178786924659806,0.7018997558215319,-0.2162604187752995,0.6461833962946006,-0.5072842015265535,0.5290341666924494,1.039805394353903,-0.23004678228549286,0.5770942807667448,0.14183632445531488,-0.5831173044773266,1.163183833617252,0.5809068529658773,-0.28661682080359996,-0.2931300124474908,-0.9348625359462207,-0.44432777771884513,0.88561932696963,0.2682898329182469,-0.7738610250965184,1.2073785497461735,-0.10119701650206231,0.4135472163019127,0.16992708860002484,-0.20769847452544338,0.7389350675260487,0.986849366836289,-0.9243112113157019,-0.9788304643067903,0.31655118847128155,0.30641784773000924,0.34889966274824835,-0.7407604083206012,-0.06315017346937592,-0.056542086987354565,-0.08959195989676072,-1.5521835341880752,0.15764552917621685,-0.06688425148748102,0.2769468645998556,-0.8870085963844173,-0.9797140832503661,0.20343114604425172,1.5847661382681215,0.5745968002491886,-0.2618521655624669,-0.3955978043681729,-0.3557977647509542,-0.1710747574527511,1.275498788595446,0.12227559560090046,0.0,0.10503506736103695,0.0,Pave,Lvl,AllPub,Inside,CollgCr,Norm,1Fam,Gable,CompShg,VinylSd,BrkFace,PConc,GasA,SBrkr,5,Attchd,Y,None,None,WD,Normal
0.3684143031018999,0.6641583682102828,-0.07204408274559655,0.7018997558215319,-0.2162604187752995,-0.06318453668168356,2.188278755250165,-0.5670159496749859,-0.6837561877693462,-0.23004678228549286,0.5770942807667448,0.14183632445531488,2.2210332915182525,0.6900325501266223,1.1781122200432832,-0.28661682080359996,-0.2931300124474908,-0.6298964037728167,0.4771110864538928,0.88561932696963,0.2682898329182469,0.26107477608525587,-0.7850250438866518,-0.10119701650206231,-0.4718906513878417,0.16992708860002484,-0.20769847452544338,-0.7715351440345506,-0.28775828882527155,0.6236316606467388,0.6820140185326908,0.31655118847128155,0.30641784773000924,-0.05979245369921088,1.6148793004689124,-0.06315017346937592,-0.056542086987354565,-0.08959195989676072,-0.4469248572580886,-0.6029615777083905,-0.06688425148748102,0.2769468645998556,0.35769649965135975,-0.01989350630530193,0.20343114604425172,0.3482164570051847,0.8927357761413489,-0.8272726036833639,2.527819894241186,-0.3557977647509542,-0.1710747574527511,-0.9021084354745458,0.12227559560090046,0.0,1.1282420052131752,0.0,Pave,Lvl,AllPub,FR2,Veenker,Feedr,1Fam,Gable,CompShg,MetalSd,None,CBlock,GasA,SBrkr,5,Attchd,Y,None,None,WD,Normal
0.3684143031018999,0.3056915301747231,0.1371968790271284,-1.0522486921605334,-0.2162604187752995,0.6461833962946006,-0.5072842015265535,0.338903024057282,1.039805394353903,-0.23004678228549286,0.5770942807667448,0.14183632445531488,0.35159956085453303,1.163183833617252,0.09787310018268149,-0.28661682080359996,-0.2931300124474908,-0.28851640507124515,-0.2990763311497436,0.88561932696963,0.2682898329182469,-0.6107184357476674,1.2353748531695856,-0.10119701650206231,0.5637554259992817,0.16992708860002484,-0.20769847452544338,0.7389350675260487,-0.28775828882527155,0.6236316606467388,0.6820140185326908,0.31655118847128155,0.30641784773000924,0.6275533785078796,-0.7407604083206012,-0.06315017346937592,-0.056542086987354565,-0.08959195989676072,1.0267533786485603,0.15764552917621685,-0.06688425148748102,0.2769468645998556,-0.8391353234599643,-0.9058817311776689,0.20343114604425172,1.5847661382681215,0.15633286747726208,-0.437966728255861,-0.3955978043681729,-0.3557977647509542,-0.1710747574527511,1.275498788595446,0.12227559560090046,0.0,-0.42124156195458085,0.0,Pave,Lvl,AllPub,Inside,CollgCr,Norm,1Fam,Gable,CompShg,VinylSd,BrkFace,PConc,GasA,SBrkr,5,Attchd,Y,None,None,WD,Normal
0.3684143031018999,0.06671363815101665,-0.07838471795083064,-1.0522486921605334,-0.2162604187752995,0.6461833962946006,-0.5072842015265535,-0.5670159496749859,-0.6837561877693462,-0.23004678228549286,-0.5275209359926835,1.8814171273337372,-0.5831173044773266,0.6900325501266223,-0.4949410509603316,-0.28661682080359996,-0.2931300124474908,-0.04727453932213459,-0.6712831629830662,-0.15845289250708608,0.2682898329182469,-0.5062052144460596,0.9787420717883084,-0.10119701650206231,0.4273821829845651,0.16992708860002484,-0.20769847452544338,0.7389350675260487,0.3495455390055087,0.6236316606467388,1.2356288461458511,-0.7980602942158965,1.6198300320529118,0.7854571507716707,-0.7407604083206012,-0.06315017346937592,-0.056542086987354565,-0.08959195989676072,-1.5521835341880752,-1.3635686845929977,-0.06688425148748102,0.2769468645998556,0.5970628642736245,-0.8689655551413202,0.20343114604425172,-0.2700583836262836,-0.5421194526920747,2.0183679619414785,-0.3955978043681729,-0.3557977647509542,-0.1710747574527511,1.275498788595446,0.12227559560090046,0.0,0.7851470860643474,0.0,Pave,Lvl,AllPub,Corner,Crawfor,Norm,1Fam,Gable,CompShg,Wd Sdng,None,BrkTil,GasA,SBrkr,5,Detchd,Y,None,None,WD,Abnorml
0.3684143031018999,0.7836473142221361,0.5189031183822206,-1.0522486921605334,-0.2162604187752995,1.3555513292708847,-0.5072842015265535,1.3902164009811486,1.039805394353903,-0.23004678228549286,0.5770942807667448,0.14183632445531488,1.2863164261863926,1.163183833617252,0.46893084663886375,-0.28661682080359996,-0.2931300124474908,-0.16106787222265845,0.21157328569475403,0.88561932696963,0.2682898329182469,-0.037170270068112604,1.6716505815177571,-0.10119701650206231,1.3780420364639665,1.3856554504222593,-0.20769847452544338,0.7389350675260487,1.6241531946670693,0.6236316606467388,0.6820140185326908,0.31655118847128155,1.6198300320529118,1.6864374983944785,0.7769671892887499,-0.06315017346937592,-0.056542086987354565,-0.08959195989676072,2.132012055578547,0.15764552917621685,-0.06688425148748102,0.2769468645998556,-0.7433887776110584,-0.8689655551413202,0.20343114604425172,1.5847661382681215,0.5883236088536726,-0.04866085282835814,-0.3955978043681729,-0.3557977647509542,-0.1710747574527511,1.275498788595446,0.12227559560090046,0.0,-1.1669754563922587,0.0,Pave,Lvl,AllPub,FR2,NoRidge,Norm,1Fam,Gable,CompShg,VinylSd,BrkFace,PConc,GasA,SBrkr,5,Attchd,Y,None,None,WD,Normal
0.3684143031018999,0.8135195507250994,0.5005152762870417,-1.0522486921605334,-0.2162604187752995,-0.7725524696579678,-0.5072842015265535,-0.5670159496749859,-0.6837561877693462,-0.23004678228549286,0.5770942807667448,0.14183632445531488,-0.5831173044773266,1.163183833617252,0.6379926601129823,-0.28661682080359996,-0.2931300124474908,-1.1305870685351218,-0.5805010088773778,0.88561932696963,0.2682898329182469,-0.9268072026110664,0.535467267584284,-0.10119701650206231,-0.2742482702070929,-2.2615296350444445,-0.20769847452544338,-0.7715351440345506,-0.9250621166560519,-0.9243112113157019,-0.9788304643067903,-0.7980602942158965,0.30641784773000924,0.03309211822066622,-0.42456715881865303,-0.06315017346937592,-0.056542086987354565,1.14431217701962,1.3951729376252227,0.9182526360608242,-0.06688425148748102,0.2769468645998556,-0.45614914006434065,-0.5736361468505313,0.20343114604425172,0.3482164570051847,0.6028578767878323,2.41694302487916,-0.3955978043681729,-0.3557977647509542,-0.1710747574527511,0.18669517656045015,0.12227559560090046,0.0,-1.1836758681660409,0.5519882719687552,Pave,Lvl,AllPub,Inside,Mitchel,Norm,1Fam,Gable,CompShg,VinylSd,None,Wood,GasA,SBrkr,5,Attchd,Y,MnPrv,Shed,WD,Normal
0.3684143031018999,0.5147971856954663,-0.01066673395893057,0.7018997558215319,-0.2162604187752995,1.3555513292708847,-0.5072842015265535,0.4731132423879884,1.039805394353903,-0.23004678228549286,1.681709497526173,0.14183632445531488,1.2863164261863926,1.163183833617252,2.036594935217054,-0.28661682080359996,-0.2931300124474908,-0.554792804058471,1.4394019199741905,0.88561932696963,0.2682898329182469,1.362287254190001,-0.7850250438866518,-0.10119701650206231,0.3819244353129929,0.16992708860002484,-0.20769847452544338,0.7389350675260487,0.3495455390055087,0.6236316606467388,1.2356288461458511,0.31655118847128155,0.30641784773000924,0.7575917791957076,1.274971557254318,-0.06315017346937592,-0.056542086987354565,-0.08959195989676072,0.6583338196718981,-0.6029615777083905,-0.06688425148748102,0.2769468645998556,-1.0306284151577763,-1.0535464353230635,0.20343114604425172,0.9664912976366531,2.2480562610017323,-0.2989289156031814,-0.3955978043681729,-0.3557977647509542,-0.1710747574527511,-0.9021084354745458,0.12227559560090046,0.0,1.0241185683279432,0.0,Pave,Lvl,AllPub,Inside,Somerst,Norm,1Fam,Gable,CompShg,VinylSd,Stone,PConc,GasA,SBrkr,5,Attchd,Y,None,None,WD,Normal
0.3684143031018999,-1.7256205520267818,0.027123451864264604,-1.0522486921605334,-0.2162604187752995,0.6461833962946006,0.39123678406568596,0.7750862336320777,-0.6837561877693462,-0.23004678228549286,0.5770942807667448,0.14183632445531488,0.35159956085453303,0.6900325501266223,0.9168348719469182,2.8546891864268447,-0.10394616631498621,-0.7846553365175293,0.12533023929435,0.88561932696963,0.2682898329182469,-0.13403618249399296,1.5083388115478533,-0.10119701650206231,1.164588264788758,0.16992708860002484,-0.20769847452544338,-0.7715351440345506,0.3495455390055087,2.1715745326091795,0.6820140185326908,0.31655118847128155,0.30641784773000924,0.05166903260464164,1.116874932503344,-0.06315017346937592,-0.056542086987354565,0.5273601085614298,1.7635924966018848,0.9182526360608242,-0.06688425148748102,0.2769468645998556,0.5970628642736245,0.1646873738764412,0.20343114604425172,1.5847661382681215,0.589534797848186,3.1770164007138084,2.527819894241186,-0.3557977647509542,-0.1710747574527511,1.275498788595446,0.12227559560090046,0.0,-1.1832547273473975,-1.686610068649284,Pave,Lvl,AllPub,Corner,NWAmes,PosN,1Fam,Gable,CompShg,HdBoard,Stone,CBlock,GasA,SBrkr,5,Attchd,Y,None,Shed,WD,Normal
-2.070137512667819,-0.20213649037565312,-0.5133522930298892,0.7018997558215319,-0.2162604187752995,0.6461833962946006,-0.5072842015265535,-0.5670159496749859,-0.6837561877693462,-0.23004678228549286,-0.5275209359926835,0.14183632445531488,-0.5831173044773266,-1.2025725838358963,-0.969192371874742,-0.28661682080359996,-0.2931300124474908,0.8903825237781821,-0.2264506078651928,-0.15845289250708608,0.2682898329182469,-0.35070993397293587,0.969409970647171,-0.10119701650206231,0.5400383402575919,-1.0458012732222097,4.455931118857386,-0.7715351440345506,0.986849366836289,2.1715745326091795,0.6820140185326908,-0.7980602942158965,0.30641784773000924,-0.02263862493126004,-0.029325596941217873,-0.06315017346937592,-0.056542086987354565,-0.08959195989676072,-0.8153444162347508,0.15764552917621685,-0.06688425148748102,-0.43280546004191733,1.6502748686115898,1.6782505913667345,0.20343114604425172,-0.2700583836262836,-0.811810868803703,1.0729108359032573,2.527819894241186,-0.3557977647509542,-0.1710747574527511,0.18669517656045015,0.12227559560090046,0.0,-0.21115522253946725,0.0,Pave,Lvl,AllPub,Inside,OldTown,Artery,1Fam,Gable,CompShg,BrkFace,None,BrkTil,GasA,FuseF,4,Detchd,Y,None,None,WD,Abnorml
0.3684143031018999,-0.23200872687861643,-0.34849577769380286,0.7018997558215319,-0.2162604187752995,-0.7725524696579678,0.39123678406568596,-0.5670159496749859,-0.6837561877693462,-0.23004678228549286,-0.5275209359926835,0.14183632445531488,-0.5831173044773266,1.163183833617252,0.8992700082093473,-0.28661682080359996,-0.2931300124474908,-0.9576212025263255,-0.13793800761214656,0.88561932696963,0.2682898329182469,-0.21050927125126692,-0.7850250438866518,-0.10119701650206231,-0.8375290565722269,-1.0458012732222097,4.455931118857386,-0.7715351440345506,-0.9250621166560519,2.1715745326091795,0.6820140185326908,0.31655118847128155,-1.0069943365928933,-1.2440707456776439,-0.7407604083206012,-0.06315017346937592,-0.056542086987354565,-0.08959195989676072,-1.9206030931647375,0.15764552917621685,-0.06688425148748102,0.9866991892416286,1.6502748686115898,1.3829211830759456,0.20343114604425172,-0.2700583836262836,0.9218043120096682,-0.7901958536426493,-0.3955978043681729,-0.3557977647509542,-0.1710747574527511,0.18669517656045015,-8.178246812748595,0.0,0.5370474284212919,0.0,Pave,Lvl,AllPub,Corner,BrkSide,Artery,2fmCon,Gable,CompShg,MetalSd,None,BrkTil,GasA,SBrkr,5,Attchd,Y,None,None,WD,Normal
